Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440009,Substance Abuse and Addiction,"This theme captures responses where children's education is affected by alcohol or drug use within the family or community, as well as issues like gambling or addiction to online games. These problems create unstable home environments, distract children from studies, and contribute to irregular attendance or dropout.","Addiction,Addicted,Alcohol,Drugs,Alcoholism,online games,mobile phones,Gambling",approved,0,
550e8400-e29b-41d4-a716-446655440008,Safety Concerns,"This theme includes responses where children's school attendance is affected by worries related to their overall safety and security. It covers issues such as unsafe routes, harassment, or any situation that makes families feel that the environment around schooling is not secure enough for children to travel or attend regularly.","Harassment,molestation,eve-teasing,tease,violence,environment around house,house surroundings",approved,0,
550e8400-e29b-41d4-a716-446655440004,Distance and Accessibility Issues,"This theme captures challenges that prevent children from attending school due to physical and environmental conditions. It includes long distances to school, poor road or transport infrastructure, and difficulties caused by weather or seasonal factors (such as heavy rains, heat, or floods). These conditions make daily travel to school inconvenient, unreliable, or physically demanding for children.","school is far,distance of school,no bus,lack of transportation,no road,roads are bad,no school in village,rain,hot,heat,sun,has to walk a lot,long distances,no clean roads",approved,0,
1a4d5f07-5b46-4593-a279-d7361f54351a,Holistic Student Learning and Engagement,"This theme encompasses all objectives that aim to improve students' academic skills—such as reading, literacy, and mathematics—while simultaneously fostering engagement, participation, ownership of learning, and confidence in communication. It also includes actions to enhance access to modern resources, reduce dropout rates, and create supportive, collaborative environments involving teachers, parents, and the broader community.","reading,literacy,mathematics,student engagement,participation,dropout prevention,resource access,parental involvement,confidence building,holistic education",Draft,14,2 | To improve the reading ability of students. | 0.85
,,,,,,129 | To help students overcome mother tongue interference and improve their pronunciation | 0.85
,,,,,,58 | Improve math education in school | 0.85
,,,,,,9 | Improve math performance of students | 0.85
,,,,,,128 | To enhance maths education by integrating hands-on activities that help students understand abstract concepts through real-world applications | 0.85
,,,,,,12 | To reduce the use of abusive language | 0.85
,,,,,,59 | Improve access to modern educational resources | 0.85
,,,,,,"154 | To improve student participation and reading skills through cooperation from teachers, parents, and community | 0.85"
,,,,,,187 | To enhance student engagement and participation in morning assembly activities | 0.85
,,,,,,60 | To enhance student engagement and performance in mathematics | 0.85
,,,,,,"130 | To empower students to take ownership of their learning and promote social learning, and to provide a supportive and encouraging environment for students to overcome their shyness and lack of confidence in speaking English. | 0.85"
,,,,,,16 | To improve literacy skills of Grade 3-5 students | 0.85
,,,,,,62 | To reduce dropout rates at the local high school | 0.85
,,,,,,21 | Improve math skills of grade 8 students | 0.85
4b376325-9332-4420-83d0-d3d8368104b0,Candidate Theme (Cluster 2),Locally clustered theme containing 8 objectives. Sample text: 'Improving waste management in the community',"waste management,management community,waste,management,improve waste",Draft,8,75 | Improving waste management in the community | 0.85
,,,,,,74 | To improve waste management in the community and reduce its negative impacts on health and the environment. | 0.85
,,,,,,76 | Improve waste management in the community | 0.85
,,,,,,89 | To improve waste management in the community | 0.85
,,,,,,86 | To improve waste management in the community and reduce health risks | 0.85
,,,,,,77 | To improve waste management in the community | 0.85
,,,,,,101 | To improve waste management in the community | 0.85
,,,,,,78 | Improve waste management in the community | 0.85
